dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
flow_byte_sum__udp,pareto,2305,"{'shape': 0.6576831637504504, 'loc': 0.0, 'scale': 60.0}",0.11835008393362789,1.3757168674475305e-28,32430.120027018835,32441.605698929696,-16213.060013509417,1,1
flow_byte_sum__udp,lognormal,2305,"{'shape': 1.1943564930210482, 'loc': 0.0, 'scale': 274.46768693680735}",0.10149815316775324,3.987590328469726e-21,33248.460010971976,33259.94568288284,-16622.230005485988,2,2
flow_byte_sum__udp,weibull,2305,"{'shape': 0.5511360748342373, 'loc': 0.0, 'scale': 537.379289034171}",0.2582240923152642,4.862717597291487e-136,34951.94540509656,34963.43107700742,-17473.97270254828,3,3
flow_byte_sum__udp,gamma,2305,"{'shape': 0.3391273633136483, 'loc': 0.0, 'scale': 5938.921411529851}",0.32526163997580304,1.3483446005878136e-217,36718.187620666504,36729.67329257737,-18357.093810333252,4,4
flow_byte_sum__udp,exponential,2305,"{'loc': 0.0, 'scale': 2014.0507592190888}",0.5589176371100082,0.0,39684.43410304296,39690.17693899839,-19841.21705152148,5,5
