dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
iat,lognormal,99999,"{'shape': 1.5047663962031992, 'loc': 0.0, 'scale': 6.63876026496428e-06}",0.3301032269175241,0.0,-2018977.6336024266,-2018958.6077714968,1009490.8168012133,1,1
iat,weibull,99999,"{'shape': 0.5682434237050764, 'loc': 0.0, 'scale': 1.5339967459904628e-05}",0.3446585705758364,0.0,-1976261.6710014043,-1976242.6451704744,988132.8355007021,2,2
iat,gamma,99999,"{'shape': 0.44252516272882114, 'loc': 0.0, 'scale': 6.480200264395039e-05}",0.4004481497090559,0.0,-1955547.744788616,-1955528.718957686,977775.872394308,3,3
iat,poisson,99999,"{'lambda': 34871.73871879254, 'mean_iat': 2.8676516765167643e-05, 'scale': 2.8676516765167643e-05}",0.5953830964700499,0.0,-1891865.4813982716,-1891855.9684828068,945933.7406991358,4,4
iat,exponential,99999,"{'loc': 0.0, 'scale': 2.8676516765167643e-05}",0.5953830964700499,0.0,-1891865.4813982716,-1891855.9684828068,945933.7406991358,4,4
