dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
flow_duration__tcp,gamma,3032,"{'shape': 0.4999278546547617, 'loc': 0.0, 'scale': 1.2769962971871582}",0.055047728386826006,1.994911935291503e-08,2034.6542010843052,2046.6881565778297,-1015.3271005421526,1,1
flow_duration__tcp,weibull,3032,"{'shape': 0.6329234801593614, 'loc': 0.0, 'scale': 0.472507222339524}",0.05834143560157459,2.0609691253881035e-09,2137.400168169158,2149.4341236626824,-1066.700084084579,2,2
flow_duration__tcp,exponential,3032,"{'loc': 0.0, 'scale': 0.6384060192548505}",0.17795959467840528,1.795620344487844e-84,3344.5932031272055,3350.6101808739677,-1671.2966015636027,3,3
flow_duration__tcp,lognormal,3032,"{'shape': 2.343816375398449, 'loc': 0.0, 'scale': 0.17918160839998598}",0.1476509720094277,3.6900990208948235e-58,3347.4691633242264,3359.503118817751,-1671.7345816621132,4,4
flow_duration__tcp,pareto,3032,"{'shape': 0.08733288077459701, 'loc': 0.0, 'scale': 1.9073486328125e-06}",0.4541886339107427,0.0,10426.032043958152,10438.065999451677,-5211.016021979076,5,5
