dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
flow_byte_sum,pareto,12382,"{'shape': 0.8286870178633445, 'loc': 0.0, 'scale': 60.0}",0.333393641457483,0.0,160697.23709697544,160712.0850951436,-80346.61854848772,1,1
flow_byte_sum,lognormal,12382,"{'shape': 1.6665242495966341, 'loc': 0.0, 'scale': 200.55184064325545}",0.23450254088351358,0.0,179066.32948302684,179081.177481195,-89531.16474151342,2,2
flow_byte_sum,weibull,12382,"{'shape': 0.4317521390906391, 'loc': 0.0, 'scale': 515.1099792076309}",0.3264761724536689,0.0,186928.90044412547,186943.7484422936,-93462.45022206273,3,3
flow_byte_sum,gamma,12382,"{'shape': 0.2162601002696132, 'loc': 0.0, 'scale': 26735.821204964148}",0.3230185837124852,0.0,198531.83260160146,198546.6805997696,-99263.91630080073,4,4
flow_byte_sum,exponential,12382,"{'loc': 0.0, 'scale': 5781.891374575997}",0.7043627570315829,0.0,239283.80666136683,239291.2306604509,-119640.90333068342,5,5
