dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
frame_len__udp,lognormal,9361,"{'shape': 1.1457143661863738, 'loc': 0.0, 'scale': 274.33352332688736}",0.1587508599682823,1.5265479315265376e-206,134227.8495442599,134242.13815906263,-67111.92477212995,1,1
frame_len__udp,weibull,9361,"{'shape': 0.9667219253030064, 'loc': 0.0, 'scale': 488.2545627263218}",0.17237441092276867,1.1058509646927473e-243,134905.30943614902,134919.59805095175,-67450.65471807451,2,2
frame_len__udp,gamma,9361,"{'shape': 0.9775053269347675, 'loc': 0.0, 'scale': 507.34100327767777}",0.18002532228504747,6.446325827264446e-266,134919.65932250005,134933.9479373028,-67457.82966125003,3,4
frame_len__udp,exponential,9361,"{'loc': 0.0, 'scale': 495.92853327635936}",0.18490912525498882,1.2487194323756046e-280,134920.81672513828,134927.96103253966,-67459.40836256914,4,3
