dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
frame_len__tcp,gamma,83446,"{'shape': 0.714409713962809, 'loc': 0.0, 'scale': 1088.1940346663403}",0.29201097885043426,0.0,1270604.7694173672,1270623.4333273573,-635300.3847086836,1,1
frame_len__tcp,weibull,83446,"{'shape': 0.8111114589998911, 'loc': 0.0, 'scale': 701.555927408343}",0.29484971035472085,0.0,1272173.182772402,1272191.846682392,-636084.591386201,2,2
frame_len__tcp,lognormal,83446,"{'shape': 1.5140238544650606, 'loc': 0.0, 'scale': 334.43201195368505}",0.30189938239436387,0.0,1276084.105929403,1276102.7698393932,-638040.0529647016,3,3
frame_len__tcp,exponential,83446,"{'loc': 0.0, 'scale': 777.4163890420152}",0.33268698943275277,0.0,1277723.1632913991,1277732.495246394,-638860.5816456996,4,4
