dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
iat__udp,lognormal,9361,"{'shape': 1.6625746629218705, 'loc': 0.0, 'scale': 7.614075095533585e-06}",0.32306277586981713,0.0,-184561.33463148528,-184547.04601668255,92282.66731574264,1,1
iat__udp,weibull,9361,"{'shape': 0.5467531499362956, 'loc': 0.0, 'scale': 1.8856643300351804e-05}",0.33955777141626403,0.0,-181337.6760460078,-181323.38743120508,90670.8380230039,2,2
iat__udp,gamma,9361,"{'shape': 0.42116945527565636, 'loc': 0.0, 'scale': 8.51348821573504e-05}",0.3871661385727177,0.0,-179792.78891385277,-179778.50029905004,89898.39445692638,3,3
iat__udp,poisson,9361,"{'lambda': 27889.170266646805, 'mean_iat': 3.5856211943168463e-05, 'scale': 3.5856211943168463e-05}",0.593053454521125,0.0,-172914.27461248185,-172907.13030508047,86458.13730624093,4,4
iat__udp,exponential,9361,"{'loc': 0.0, 'scale': 3.5856211943168463e-05}",0.593053454521125,0.0,-172914.27461248185,-172907.13030508047,86458.13730624093,4,4
