dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
flow_throughput__mice,lognormal,3816,"{'shape': 2.7516271210054777, 'loc': 0.0, 'scale': 40014.22147919445}",0.11566040495442298,6.274966592159664e-45,99434.62067146503,99447.11458753017,-49715.310335732516,1,1
flow_throughput__mice,pareto,3816,"{'shape': 0.22200271018168857, 'loc': 0.0, 'scale': 442.5443532765224}",0.22384957337540115,1.809945998693066e-168,99998.89059862604,100011.38451469118,-49997.44529931302,2,2
flow_throughput__mice,weibull,3816,"{'shape': 0.2681091362479338, 'loc': 0.0, 'scale': 186081.90430444933}",0.19380508989754508,4.963968317734638e-126,101703.62284681278,101716.11676287792,-50849.81142340639,3,3
flow_throughput__mice,gamma,3816,"{'shape': 0.11303330853910049, 'loc': 0.0, 'scale': 417239399.45790756}",0.36792166382068786,0.0,105940.94153084536,105953.4354469105,-52968.47076542268,4,4
flow_throughput__mice,exponential,3816,"{'loc': 0.0, 'scale': 47161949.77359466}",0.8783632902981271,0.0,142484.55575724732,142490.8027152799,-71241.27787862366,5,5
