dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
flow_duration__mice,gamma,3816,"{'shape': 0.4060417734834941, 'loc': 0.0, 'scale': 1.4193674674090087}",0.07004549307363656,1.0035745405048967e-16,324.50930954140904,337.0032256065454,-160.25465477070452,1,1
flow_duration__mice,weibull,3816,"{'shape': 0.5388393552575024, 'loc': 0.0, 'scale': 0.3668334943749176}",0.08383133262785003,8.871890971776711e-24,601.814032090128,614.3079481552643,-298.907016045064,2,2
flow_duration__mice,lognormal,3816,"{'shape': 2.7549465201267895, 'loc': 0.0, 'scale': 0.11442942510632098}",0.17415726697632117,1.0837234775046107e-101,2022.9657925338022,2035.4597085989385,-1009.4828962669011,3,3
flow_duration__mice,exponential,3816,"{'loc': 0.0, 'scale': 0.5763224836915294}",0.19524135646988128,6.476020024393634e-128,3428.097090466941,3434.3440484995094,-1713.0485452334706,4,4
flow_duration__mice,pareto,3816,"{'shape': 0.09089256986247023, 'loc': 0.0, 'scale': 1.9073486328125e-06}",0.3990124913762684,0.0,9393.496961406703,9405.990877471839,-4694.748480703352,5,5
