dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
flow_byte_sum__mice,pareto,11762,"{'shape': 1.0557397836175744, 'loc': 0.0, 'scale': 60.0}",0.3486651929943887,0.0,140849.3846567825,140864.12991533254,-70422.69232839125,1,1
flow_byte_sum__mice,lognormal,11762,"{'shape': 1.229355956669071, 'loc': 0.0, 'scale': 154.70926813607815}",0.23464099711166897,0.0,156837.95798907994,156852.70324762998,-78416.97899453997,2,2
flow_byte_sum__mice,weibull,11762,"{'shape': 0.6780182527303863, 'loc': 0.0, 'scale': 304.8972629767469}",0.28261113745912414,0.0,162087.06085756165,162101.8061161117,-81041.53042878082,3,3
flow_byte_sum__mice,gamma,11762,"{'shape': 0.5872352455140653, 'loc': 0.0, 'scale': 757.0358842921809}",0.2473391973413892,0.0,164188.1408481641,164202.88610671414,-82092.07042408205,4,4
flow_byte_sum__mice,exponential,11762,"{'loc': 0.0, 'scale': 444.55815337527633}",0.36610950141119764,0.0,166953.7305067323,166961.10313600732,-83475.86525336615,5,5
