dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
flow_byte_sum__dns,lognormal,1510,"{'shape': 0.8755109878035038, 'loc': 0.0, 'scale': 330.61889071862277}",0.06994224310456021,7.221285183239399e-07,21406.610987568856,21417.250717428473,-10701.305493784428,1,1
flow_byte_sum__dns,gamma,1510,"{'shape': 1.257980487512179, 'loc': 0.0, 'scale': 411.12883555367966}",0.12021411056625353,1.7925898776232313e-19,21847.84862317903,21858.488353038647,-10921.924311589515,2,2
flow_byte_sum__dns,exponential,1510,"{'loc': 0.0, 'scale': 517.1920529801324}",0.13204884984489568,2.026917215746187e-23,21892.211129562253,21897.530994492063,-10945.105564781126,3,3
flow_byte_sum__dns,weibull,1510,"{'shape': 0.9987266169293305, 'loc': 0.0, 'scale': 516.826369385305}",0.1324622673306164,1.4527146078689177e-23,21894.205106819834,21904.84483667945,-10945.102553409917,4,4
flow_byte_sum__dns,pareto,1510,"{'shape': 0.6031975751714449, 'loc': 0.0, 'scale': 63.0}",0.19838518437276204,1.480595530903221e-52,22069.559956239595,22080.19968609921,-11032.779978119797,5,5
