dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
frame_len__rdp,lognormal,868,"{'shape': 0.3433707456245654, 'loc': 0.0, 'scale': 65.97833352235041}",0.4109088508316101,4.438406390893347e-133,7884.260243645452,7893.792627074772,-3940.130121822726,1,1
frame_len__rdp,gamma,868,"{'shape': 3.0151167536055734, 'loc': 0.0, 'scale': 26.06489768047637}",0.45061601472151863,2.1513974248202146e-161,8877.276949056517,8886.809332485838,-4436.6384745282585,2,2
frame_len__rdp,weibull,868,"{'shape': 1.174927531315101, 'loc': 0.0, 'scale': 84.96834720285935}",0.4854429052677691,6.627444055703265e-189,9248.756757802967,9258.289141232288,-4622.378378901483,3,3
frame_len__rdp,exponential,868,"{'loc': 0.0, 'scale': 78.58870967741936}",0.5339528386467352,1.0403091711605923e-231,9314.299888440379,9319.066080155038,-4656.149944220189,4,4
