dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
iat__http,lognormal,58535,"{'shape': 1.4443523603286288, 'loc': 0.0, 'scale': 6.343658307043854e-06}",0.33225233258737336,0.0,-1191938.9807667742,-1191921.0260064844,595971.4903833871,1,1
iat__http,weibull,58535,"{'shape': 0.5782831017335397, 'loc': 0.0, 'scale': 1.4262511472606102e-05}",0.34639033737348235,0.0,-1165060.531230699,-1165042.5764704093,582532.2656153495,2,2
iat__http,gamma,58535,"{'shape': 0.453466002310293, 'loc': 0.0, 'scale': 5.801052298237863e-05}",0.4049989219652482,0.0,-1152153.410237919,-1152135.4554776293,576078.7051189595,3,3
iat__http,poisson,58535,"{'lambda': 38014.43035179665, 'mean_iat': 2.6305799948748613e-05, 'scale': 2.6305799948748613e-05}",0.5937056538738718,0.0,-1117515.570666497,-1117506.5932863522,558758.7853332486,4,4
iat__http,exponential,58535,"{'loc': 0.0, 'scale': 2.6305799948748613e-05}",0.5937056538738718,0.0,-1117515.570666497,-1117506.5932863522,558758.7853332486,4,4
