dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
frame_len__http,gamma,58536,"{'shape': 0.6993638956427005, 'loc': 0.0, 'scale': 1119.7639893731125}",0.3026936349982424,0.0,891455.2419932291,891473.1967876863,-445725.62099661457,1,1
frame_len__http,weibull,58536,"{'shape': 0.7975836427091136, 'loc': 0.0, 'scale': 699.1899938763628}",0.30489076169566376,0.0,892572.7859081548,892590.740702612,-446284.3929540774,2,2
frame_len__http,lognormal,58536,"{'shape': 1.5300364431062274, 'loc': 0.0, 'scale': 329.984475888459}",0.3072396360598303,0.0,894817.5725093208,894835.527303778,-447406.7862546604,3,3
frame_len__http,exponential,58536,"{'loc': 0.0, 'scale': 783.1225058083915}",0.35737247291012886,0.0,897158.5862828183,897167.5636800469,-448578.2931414092,4,4
