dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
flow_byte_sum__tls,pareto,712,"{'shape': 0.4057243145515862, 'loc': 0.0, 'scale': 60.0}",0.11528259507464567,1.0631662605243091e-08,12052.68293618107,12061.819092003894,-6024.341468090535,1,1
flow_byte_sum__tls,lognormal,712,"{'shape': 1.8953737157990622, 'loc': 0.0, 'scale': 705.6168389237207}",0.11894993031319995,3.0986834283430336e-09,12275.21595244181,12284.352108264633,-6135.607976220905,2,2
flow_byte_sum__tls,weibull,712,"{'shape': 0.4752629407776255, 'loc': 0.0, 'scale': 1881.7153811708413}",0.1767153537891791,6.404826408148275e-20,12491.239764731625,12500.375920554448,-6243.619882365812,3,3
flow_byte_sum__tls,gamma,712,"{'shape': 0.2751917067513986, 'loc': 0.0, 'scale': 32552.439979401395}",0.1960370381365449,1.8929487469956295e-24,12927.273851166075,12936.4100069889,-6461.636925583038,4,4
flow_byte_sum__tls,exponential,712,"{'loc': 0.0, 'scale': 8958.161516853932}",0.49077698941577586,1.0762224384876881e-158,14384.856103019058,14389.42418093047,-7191.428051509529,5,5
