dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
iat__ssh,lognormal,474,"{'shape': 1.8114146368546011, 'loc': 0.0, 'scale': 9.96385828114949e-06}",0.3179558020986929,4.121812440472238e-43,-9005.317566965885,-8996.995152322495,4504.658783482942,1,1
iat__ssh,weibull,474,"{'shape': 0.5462975704688601, 'loc': 0.0, 'scale': 2.599712559193093e-05}",0.3137718550944373,5.708819326282638e-42,-8895.94735636354,-8887.62494172015,4449.97367818177,2,2
iat__ssh,gamma,474,"{'shape': 0.42510705005768995, 'loc': 0.0, 'scale': 0.00010855543166981578}",0.3468520406851649,1.875812166521096e-51,-8851.814686823243,-8843.492272179854,4427.907343411622,3,3
iat__ssh,poisson,474,"{'lambda': 21669.562037121694, 'mean_iat': 4.614767932489452e-05, 'scale': 4.614767932489452e-05}",0.5449947715916029,1.6184157086632534e-132,-8514.513361808442,-8510.352154486747,4258.256680904221,4,4
iat__ssh,exponential,474,"{'loc': 0.0, 'scale': 4.614767932489452e-05}",0.5449947715916029,1.6184157086632534e-132,-8514.513361808442,-8510.352154486747,4258.256680904221,4,4
