dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,label,caption,segment,segment_label,group
iat__all,poisson,99999,"{'lambda': 34871.73871879254, 'mean_iat': 2.8676516765167643e-05, 'scale': 2.8676516765167643e-05}",0.5953830964700499,0.0,-1891865.4813982716,-1891855.9684828068,945933.7406991358,Inter-arrival time,"best=poisson (lambda=3.487e+04, mean_iat=2.868e-05, scale=2.868e-05); KS D=0.5954, p=0.00e+00; AIC=-1891865.5, BIC=-1891856.0",app_proto,Application protocol,all
frame_len__all,gamma,100000,"{'shape': 0.7084071609636651, 'loc': 0.0, 'scale': 1010.596489490766}",0.25517300523418396,0.0,1505712.97829041,1505732.00414134,-752854.489145205,Packet size,"best=gamma (shape=0.7084, loc=0, scale=1011); KS D=0.2552, p=0.00e+00; AIC=1505713.0, BIC=1505732.0",app_proto,Application protocol,all
flow_duration__all,gamma,4436,"{'shape': 0.41670492253284475, 'loc': 0.0, 'scale': 1.6628482264977906}",0.07892519016362498,1.7562056264448113e-24,2261.427723074028,2274.2227397709685,-1128.713861537014,Flow duration,"best=gamma (shape=0.4167, loc=0, scale=1.663); KS D=0.0789, p=1.76e-24; AIC=2261.4, BIC=2274.2",app_proto,Application protocol,all
flow_byte_sum__all,pareto,12382,"{'shape': 0.8286870178633445, 'loc': 0.0, 'scale': 60.0}",0.333393641457483,0.0,160697.23709697544,160712.0850951436,-80346.61854848772,Flow size,"best=pareto (shape=0.8287, loc=0, scale=60); KS D=0.3334, p=0.00e+00; AIC=160697.2, BIC=160712.1",app_proto,Application protocol,all
iat__http,poisson,58535,"{'lambda': 38014.43035179665, 'mean_iat': 2.6305799948748613e-05, 'scale': 2.6305799948748613e-05}",0.5937056538738718,0.0,-1117515.570666497,-1117506.5932863522,558758.7853332486,Inter-arrival time,"best=poisson (lambda=3.801e+04, mean_iat=2.631e-05, scale=2.631e-05); KS D=0.5937, p=0.00e+00; AIC=-1117515.6, BIC=-1117506.6",app_proto,Application protocol,http
iat__tls,poisson,8845,"{'lambda': 34053.28405328406, 'mean_iat': 2.936574335782928e-05, 'scale': 2.936574335782928e-05}",0.5873631975370898,0.0,-166915.21024407624,-166908.12263646963,83458.60512203812,Inter-arrival time,"best=poisson (lambda=3.405e+04, mean_iat=2.937e-05, scale=2.937e-05); KS D=0.5874, p=0.00e+00; AIC=-166915.2, BIC=-166908.1",app_proto,Application protocol,tls
iat__dns,poisson,2462,"{'lambda': 25472.830360468488, 'mean_iat': 3.925751421608448e-05, 'scale': 3.925751421608448e-05}",0.5834999314336042,0.0,-45029.79049109983,-45023.98176179309,22515.895245549917,Inter-arrival time,"best=poisson (lambda=2.547e+04, mean_iat=3.926e-05, scale=3.926e-05); KS D=0.5835, p=0.00e+00; AIC=-45029.8, BIC=-45024.0",app_proto,Application protocol,dns
iat__rdp,poisson,868,"{'lambda': 28754.09944678173, 'mean_iat': 3.477764976958525e-05, 'scale': 3.477764976958525e-05}",0.59074087237825,3.8368526201992436e-289,-16084.70584589207,-16079.93965417741,8043.352922946035,Inter-arrival time,"best=poisson (lambda=2.875e+04, mean_iat=3.478e-05, scale=3.478e-05); KS D=0.5907, p=3.84e-289; AIC=-16084.7, BIC=-16079.9",app_proto,Application protocol,rdp
iat__ssh,poisson,474,"{'lambda': 21669.562037121694, 'mean_iat': 4.614767932489452e-05, 'scale': 4.614767932489452e-05}",0.5449947715916029,1.6184157086632534e-132,-8514.513361808442,-8510.352154486747,4258.256680904221,Inter-arrival time,"best=poisson (lambda=2.167e+04, mean_iat=4.615e-05, scale=4.615e-05); KS D=0.5450, p=1.62e-132; AIC=-8514.5, BIC=-8510.4",app_proto,Application protocol,ssh
frame_len__http,gamma,58536,"{'shape': 0.6993638956427005, 'loc': 0.0, 'scale': 1119.7639893731125}",0.3026936349982424,0.0,891455.2419932291,891473.1967876863,-445725.62099661457,Packet size,"best=gamma (shape=0.6994, loc=0, scale=1120); KS D=0.3027, p=0.00e+00; AIC=891455.2, BIC=891473.2",app_proto,Application protocol,http
