dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
frame_len__ssh,lognormal,474,"{'shape': 1.2875332186350097, 'loc': 0.0, 'scale': 234.12102437044595}",0.23533894038640413,1.4161479195447395e-23,6760.874614039504,6769.197028682895,-3378.437307019752,1,1
frame_len__ssh,weibull,474,"{'shape': 0.7850808171242918, 'loc': 0.0, 'scale': 460.03148404440014}",0.2630295507177039,1.9869182915610358e-29,6856.234042520693,6864.556457164083,-3426.1170212603465,2,2
frame_len__ssh,gamma,474,"{'shape': 0.7266210811578254, 'loc': 0.0, 'scale': 737.0221961156975}",0.28651152705534755,6.173147612375872e-35,6872.361504771459,6880.68391941485,-3434.1807523857296,3,3
frame_len__ssh,exponential,474,"{'loc': 0.0, 'scale': 535.535864978903}",0.35839504401422156,5.170163048872814e-55,6906.5379335510415,6910.699140872736,-3452.2689667755208,4,4
