dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
flow_duration__dns,weibull,629,"{'shape': 0.43260023689158345, 'loc': 0.0, 'scale': 0.0526623370375875}",0.13756504829691252,7.615094405697473e-11,-2316.244315156414,-2307.356052643013,1160.122157578207,1,1
flow_duration__dns,lognormal,629,"{'shape': 2.7975746083502795, 'loc': 0.0, 'scale': 0.014327802614370184}",0.14982393030683094,8.628931492559018e-13,-2257.710429752825,-2248.822167239424,1130.8552148764124,2,2
flow_duration__dns,gamma,629,"{'shape': 0.29610716849503127, 'loc': 0.0, 'scale': 0.4991831183916474}",0.17745118598668913,8.49481189398548e-18,-2245.9470641608455,-2237.0588016474444,1124.9735320804227,3,3
flow_duration__dns,pareto,629,"{'shape': 0.11205432163895467, 'loc': 0.0, 'scale': 1.9073486328125e-06}",0.40042980040271686,1.540563098683109e-91,-1325.4316049142087,-1316.543342400808,664.7158024571044,4,4
flow_duration__dns,exponential,629,"{'loc': 0.0, 'scale': 0.1478116997474707}",0.463312274536361,3.771120653951958e-124,-1145.0646717656748,-1140.6205405089743,573.5323358828374,5,5
