dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
flow_throughput,pareto,777,"{'shape': 0.1097911713782775, 'loc': 0.0, 'scale': 2.8674944696589004e-06}",0.22956163217598868,1.7757745100287714e-36,-687.0580123639159,-677.7471316631805,345.5290061819579,1,1
flow_throughput,lognormal,777,"{'shape': 7.847547179084048, 'loc': 0.0, 'scale': 0.025890700334900048}",0.2143247348082285,8.345002420314292e-32,-267.53334194459177,-258.22246124385646,135.76667097229588,2,2
flow_throughput,weibull,777,"{'shape': 0.13366600632978545, 'loc': 0.0, 'scale': 1.434887617115809}",0.23194076204361874,3.087105064989325e-37,-158.85039984767553,-149.53951914694025,81.42519992383777,3,3
flow_throughput,gamma,777,"{'shape': 0.0670517324041872, 'loc': 0.0, 'scale': 124492.9137134579}",0.24584687255467008,7.642524208216101e-42,178.04737343289116,187.35825413362645,-87.02368671644558,4,4
flow_throughput,exponential,777,"{'loc': 0.0, 'scale': 8347.465536532347}",0.8545984632014493,0.0,15588.174379951113,15592.82982030148,-7793.087189975557,5,5
