dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
iat,lognormal,9999,"{'shape': 1.5084129994624824, 'loc': 0.0, 'scale': 6.715341027685818e-06}",0.33319087574342127,0.0,-201598.22387553012,-201583.80339479618,100801.11193776506,1,1
iat,weibull,9999,"{'shape': 0.5674562665043251, 'loc': 0.0, 'scale': 1.5543638398561326e-05}",0.34700093630569284,0.0,-197341.12430383923,-197326.7038231053,98672.56215191961,2,2
iat,gamma,9999,"{'shape': 0.4416709486068022, 'loc': 0.0, 'scale': 6.58920636569527e-05}",0.4024292218916119,0.0,-195275.21160228702,-195260.79112155308,97639.60580114351,3,3
iat,poisson,9999,"{'lambda': 34361.178981226614, 'mean_iat': 2.9102610261026097e-05, 'scale': 2.9102610261026097e-05}",0.5978181890342589,0.0,-188872.76439698346,-188865.55415661648,94437.38219849173,4,4
iat,exponential,9999,"{'loc': 0.0, 'scale': 2.9102610261026097e-05}",0.5978181890342589,0.0,-188872.76439698346,-188865.55415661648,94437.38219849173,4,4
