dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
flow_throughput,lognormal,692,"{'shape': 2.9019302813743315, 'loc': 0.0, 'scale': 401088.8440885725}",0.11112963667319115,6.723803739177866e-08,21298.574015150793,21307.653187062027,-10647.287007575396,1,1
flow_throughput,pareto,692,"{'shape': 0.22358390752851803, 'loc': 0.0, 'scale': 4579.496936031991}",0.18998894610497594,2.3943269936071706e-22,21317.47093961775,21326.550111528984,-10656.735469808875,2,2
flow_throughput,weibull,692,"{'shape': 0.2751962598425204, 'loc': 0.0, 'scale': 1988736.2102125264}",0.1827201601237747,1.084038459551338e-20,21639.820030354298,21648.899202265533,-10817.910015177149,3,3
flow_throughput,gamma,692,"{'shape': 0.13279818170565616, 'loc': 0.0, 'scale': 1090478640.387838}",0.328865499324157,3.6169303147726976e-67,22204.482602792516,22213.56177470375,-11100.241301396258,4,4
flow_throughput,exponential,692,"{'loc': 0.0, 'scale': 144813580.63236097}",0.8277329233601415,0.0,27392.685626223065,27397.225212178684,-13695.342813111532,5,5
