dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
flow_duration__elephant,lognormal,65,"{'shape': 7.084209945001385, 'loc': 0.0, 'scale': 26080.363802917906}",0.3525168855294267,9.934908038225146e-08,1764.9468311022622,1769.2956056420535,-880.4734155511311,1,1
flow_duration__elephant,gamma,65,"{'shape': 0.10198166863625645, 'loc': 0.0, 'scale': 720560594.0376638}",0.38096401917786715,5.436712910956942e-09,1764.9927934313816,1769.341567971173,-880.4963967156908,2,2
flow_duration__elephant,pareto,65,"{'shape': 0.09058800253377437, 'loc': 0.0, 'scale': 0.41893}",0.2566136208130078,0.0002912788768482645,1768.148290126043,1772.4970646658344,-882.0741450630215,3,3
flow_duration__elephant,weibull,65,"{'shape': 0.1510144390030715, 'loc': 0.0, 'scale': 998150.3889691357}",0.36176802123815244,3.971631503254395e-08,1773.264036733662,1777.6128112734532,-884.632018366831,4,4
flow_duration__elephant,exponential,65,"{'loc': 0.0, 'scale': 73483971.73349313}",0.6153806534597439,3.249592841407309e-24,2486.6351229373477,2488.8095102072434,-1242.3175614686738,5,5
