dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
flow_byte_sum__mice,pareto,1231,"{'shape': 0.9452216153174627, 'loc': 0.0, 'scale': 66.0}",0.17179639849747375,3.0830360444346707e-32,15524.309047992618,15534.540212244987,-7760.154523996309,1,1
flow_byte_sum__mice,lognormal,1231,"{'shape': 0.8816094575086988, 'loc': 0.0, 'scale': 190.11092087734576}",0.21981046537559723,1.0346156609190515e-52,16106.809765931954,16117.040930184323,-8051.404882965977,2,2
flow_byte_sum__mice,gamma,1231,"{'shape': 1.1808621752038926, 'loc': 0.0, 'scale': 260.1288159598856}",0.21716257333526057,1.9046111956468788e-51,16546.530780178597,16556.761944430964,-8271.265390089298,3,3
flow_byte_sum__mice,exponential,1231,"{'loc': 0.0, 'scale': 307.1762794476036}",0.21245824809082745,3.075044644305155e-49,16564.91242962888,16570.028011755065,-8281.45621481444,4,4
flow_byte_sum__mice,weibull,1231,"{'shape': 0.9974404766751093, 'loc': 0.0, 'scale': 306.76348881431926}",0.21340373399705045,1.1171741386759694e-49,16566.896072502655,16577.127236755023,-8281.448036251328,5,5
