dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
flow_throughput__mice,pareto,600,"{'shape': 0.23998916412735194, 'loc': 0.0, 'scale': 4579.496936031991}",0.19153300233180576,9.434849705613652e-20,18032.032883031563,18040.826742341997,-9014.016441515781,1,1
flow_throughput__mice,lognormal,600,"{'shape': 2.9327475652752484, 'loc': 0.0, 'scale': 295433.5536299194}",0.14722212140557206,8.159245606765654e-12,18113.292978584774,18122.086837895207,-9054.646489292387,2,2
flow_throughput__mice,weibull,600,"{'shape': 0.2620327884612818, 'loc': 0.0, 'scale': 1537246.2460187944}",0.2069901964361079,5.039542804696856e-23,18445.187898231598,18453.98175754203,-9220.593949115799,3,3
flow_throughput__mice,gamma,600,"{'shape': 0.12488945080685146, 'loc': 0.0, 'scale': 1308211497.000599}",0.3386844614960406,6.573755477483009e-62,18951.967097005116,18960.76095631555,-9473.983548502558,4,4
flow_throughput__mice,exponential,600,"{'loc': 0.0, 'scale': 163381815.3996138}",0.8522495821379998,0.0,23895.92053439967,23900.317464054886,-11946.960267199835,5,5
