dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
flow_duration__mice,gamma,600,"{'shape': 0.4315960334007963, 'loc': 0.0, 'scale': 0.1981992019989498}",0.16684653169016783,4.559485871815954e-15,-2157.680507969902,-2148.8866486594698,1080.840253984951,1,1
flow_duration__mice,weibull,600,"{'shape': 0.5645733234596472, 'loc': 0.0, 'scale': 0.06108571732912604}",0.17233430397620386,4.730551496949068e-16,-2075.6533524400093,-2066.859493129577,1039.8266762200046,2,2
flow_duration__mice,lognormal,600,"{'shape': 2.7882796039836517, 'loc': 0.0, 'scale': 0.018969253927750788}",0.1780651184041282,4.096849201704713e-17,-1820.6870185043736,-1811.8931591939413,912.3435092521868,3,3
flow_duration__mice,exponential,600,"{'loc': 0.0, 'scale': 0.08554198940594991}",0.2552675656402698,5.886843606199648e-35,-1748.4975033141375,-1744.1005736589213,875.2487516570687,4,4
flow_duration__mice,pareto,600,"{'shape': 0.10863825568124429, 'loc': 0.0, 'scale': 1.9073486328125e-06}",0.369050684763004,8.255735431127666e-74,-890.2449843365266,-881.4511250260944,447.1224921682633,5,5
