dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,label,caption,segment,segment_label,group
iat__all,poisson,9999,"{'lambda': 34361.178981226614, 'mean_iat': 2.9102610261026097e-05, 'scale': 2.9102610261026097e-05}",0.5978181890342589,0.0,-188872.76439698346,-188865.55415661648,94437.38219849173,Inter-arrival time,"best=poisson (lambda=3.436e+04, mean_iat=2.91e-05, scale=2.91e-05); KS D=0.5978, p=0.00e+00; AIC=-188872.8, BIC=-188865.6",transport_proto,Transport protocol,all
frame_len__all,gamma,10000,"{'shape': 0.718483859501341, 'loc': 0.0, 'scale': 1027.7814737724414}",0.2513844678727532,0.0,151272.48744184696,151286.90812259092,-75634.24372092348,Packet size,"best=gamma (shape=0.7185, loc=0, scale=1028); KS D=0.2514, p=0.00e+00; AIC=151272.5, BIC=151286.9",transport_proto,Transport protocol,all
flow_duration__all,gamma,692,"{'shape': 0.4586953057787982, 'loc': 0.0, 'scale': 0.2058372502590913}",0.16861808799635924,1.1435032503190098e-17,-2273.6820199588346,-2264.6028480475993,1138.8410099794173,Flow duration,"best=gamma (shape=0.4587, loc=0, scale=0.2058); KS D=0.1686, p=1.14e-17; AIC=-2273.7, BIC=-2264.6",transport_proto,Transport protocol,all
flow_byte_sum__all,pareto,1834,"{'shape': 0.7232074044773247, 'loc': 0.0, 'scale': 60.0}",0.2638507082183811,3.586329513652801e-113,24950.55584200801,24961.584351313642,-12473.277921004004,Flow size,"best=pareto (shape=0.7232, loc=0, scale=60); KS D=0.2639, p=3.59e-113; AIC=24950.6, BIC=24961.6",transport_proto,Transport protocol,all
flow_throughput__all,lognormal,692,"{'shape': 2.9019302813743315, 'loc': 0.0, 'scale': 401088.8440885725}",0.11112963667319115,6.723803739177866e-08,21298.574015150793,21307.653187062027,-10647.287007575396,Flow throughput,"best=lognormal (shape=2.902, loc=0, scale=4.011e+05); KS D=0.1111, p=6.72e-08; AIC=21298.6, BIC=21307.7",transport_proto,Transport protocol,all
iat__tcp,poisson,8327,"{'lambda': 35706.781587015714, 'mean_iat': 2.800588447219887e-05, 'scale': 2.800588447219887e-05}",0.5976341577884483,0.0,-157929.4792876072,-157922.45202908095,78965.7396438036,Inter-arrival time,"best=poisson (lambda=3.571e+04, mean_iat=2.801e-05, scale=2.801e-05); KS D=0.5976, p=0.00e+00; AIC=-157929.5, BIC=-157922.5",transport_proto,Transport protocol,tcp
iat__udp,poisson,960,"{'lambda': 25757.291191543023, 'mean_iat': 3.8823958333333335e-05, 'scale': 3.8823958333333335e-05}",0.5864533519084136,1.3187806995e-314,-17578.428196635996,-17573.561263351534,8790.214098317998,Inter-arrival time,"best=poisson (lambda=2.576e+04, mean_iat=3.882e-05, scale=3.882e-05); KS D=0.5865, p=1.32e-314; AIC=-17578.4, BIC=-17573.6",transport_proto,Transport protocol,udp
frame_len__tcp,gamma,8328,"{'shape': 0.7283138243441611, 'loc': 0.0, 'scale': 1105.0893148882187}",0.30172714476536,0.0,127473.9239587383,127487.97871595889,-63734.96197936915,Packet size,"best=gamma (shape=0.7283, loc=0, scale=1105); KS D=0.3017, p=0.00e+00; AIC=127473.9, BIC=127488.0",transport_proto,Transport protocol,tcp
frame_len__udp,lognormal,960,"{'shape': 1.152013991630519, 'loc': 0.0, 'scale': 283.45287492380885}",0.18378042942750328,7.503952106853627e-29,13842.392558559306,13852.12642512823,-6919.196279279653,Packet size,"best=lognormal (shape=1.152, loc=0, scale=283.5); KS D=0.1838, p=7.50e-29; AIC=13842.4, BIC=13852.1",transport_proto,Transport protocol,udp
flow_duration__tcp,gamma,555,"{'shape': 0.5081511842254013, 'loc': 0.0, 'scale': 0.19200177240503163}",0.1706627216540128,1.3304772794364324e-14,-1696.3129644931496,-1687.6750282656567,850.1564822465748,Flow duration,"best=gamma (shape=0.5082, loc=0, scale=0.192); KS D=0.1707, p=1.33e-14; AIC=-1696.3, BIC=-1687.7",transport_proto,Transport protocol,tcp
