dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
frame_len,gamma,10000,"{'shape': 0.718483859501341, 'loc': 0.0, 'scale': 1027.7814737724414}",0.2513844678727532,0.0,151272.48744184696,151286.90812259092,-75634.24372092348,1,1
frame_len,weibull,10000,"{'shape': 0.8103421169541292, 'loc': 0.0, 'scale': 664.3684456734206}",0.25501666884626706,0.0,151408.63632512797,151423.05700587193,-75702.31816256398,2,2
frame_len,lognormal,10000,"{'shape': 1.4874609497959257, 'loc': 0.0, 'scale': 319.4004826015525}",0.25949096039293307,0.0,151653.09771604737,151667.51839679133,-75824.54885802369,3,3
frame_len,exponential,10000,"{'loc': 0.0, 'scale': 738.4444}",0.32181777611096446,0.0,152092.9162278348,152100.12656820676,-76045.4581139174,4,4
