dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
flow_duration,gamma,692,"{'shape': 0.4586953057787982, 'loc': 0.0, 'scale': 0.2058372502590913}",0.16861808799635924,1.1435032503190098e-17,-2273.6820199588346,-2264.6028480475993,1138.8410099794173,1,1
flow_duration,weibull,692,"{'shape': 0.5954190090883056, 'loc': 0.0, 'scale': 0.0711169209942332}",0.17307570450857945,1.3475589196598503e-18,-2180.1479547411327,-2171.0687828298974,1092.0739773705664,2,2
flow_duration,exponential,692,"{'loc': 0.0, 'scale': 0.09441658044826089}",0.2309059468080084,6.39020397157092e-33,-1880.2933959820618,-1875.7538100264442,941.1466979910309,3,3
flow_duration,lognormal,692,"{'shape': 2.7045923376612206, 'loc': 0.0, 'scale': 0.02319979988510537}",0.18463324831682792,4.033561378499413e-21,-1864.0151079500374,-1854.935936038802,934.0075539750187,4,4
flow_duration,pareto,692,"{'shape': 0.10631302922154555, 'loc': 0.0, 'scale': 1.9073486328125e-06}",0.3745613172817106,1.1033800434239604e-87,-718.7859660614115,-709.7067941501762,361.39298303070575,5,5
