dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
flow_throughput__tcp,lognormal,555,"{'shape': 2.6687424916075306, 'loc': 0.0, 'scale': 354381.8363632503}",0.12099776440787724,1.5412345929811262e-07,16852.33054020771,16860.968476435202,-8424.165270103855,1,1
flow_throughput__tcp,pareto,555,"{'shape': 0.22994924170595682, 'loc': 0.0, 'scale': 4579.496936031991}",0.2130835683988957,1.3584202846511813e-22,16929.30988924982,16937.947825477313,-8462.65494462491,2,2
flow_throughput__tcp,weibull,555,"{'shape': 0.29946558187470307, 'loc': 0.0, 'scale': 1529902.5630632113}",0.1781951430471085,6.8861096861004e-16,17122.286434974714,17130.924371202207,-8559.143217487357,3,3
flow_throughput__tcp,gamma,555,"{'shape': 0.14339761798868253, 'loc': 0.0, 'scale': 544290455.8648341}",0.3151900781059156,1.6554492902269668e-49,17596.182596532955,17604.82053276045,-8796.091298266478,4,4
flow_throughput__tcp,exponential,555,"{'loc': 0.0, 'scale': 78049954.86499134}",0.8000898304837167,0.0,21283.87418557294,21288.193153686683,-10640.93709278647,5,5
