dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
flow_throughput__udp,pareto,119,"{'shape': 0.20945223301914095, 'loc': 0.0, 'scale': 5592.146048366179}",0.13603008104664008,0.022104878225967517,3804.0832244113653,3809.6414713975882,-1900.0416122056827,1,1
flow_throughput__udp,lognormal,119,"{'shape': 3.5651567460047393, 'loc': 0.0, 'scale': 662301.8294411018}",0.13754187469460066,0.019999304514668914,3834.282326562731,3839.840573548954,-1915.1411632813656,2,2
flow_throughput__udp,weibull,119,"{'shape': 0.2356073792544288, 'loc': 0.0, 'scale': 4683466.394529533}",0.19435071120272462,0.0002060307226405204,3885.7633928199125,3891.3216398061354,-1940.8816964099562,3,3
flow_throughput__udp,gamma,119,"{'shape': 0.12218445252043587, 'loc': 0.0, 'scale': 3514742138.057307}",0.353171782909112,8.80976242657536e-14,3958.8238393627885,3964.3820863490114,-1977.4119196813942,4,4
flow_throughput__udp,exponential,119,"{'loc': 0.0, 'scale': 429446843.88903826}",0.8369083249124031,1.1057960034579864e-93,4970.966029891632,4973.745153384744,-2484.483014945816,5,5
