dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
flow_byte_sum__tcp,pareto,947,"{'shape': 0.5100631785508867, 'loc': 0.0, 'scale': 60.0}",0.18836741283887332,6.795127320165867e-30,14641.034064147574,14650.740662333947,-7318.517032073787,1,1
flow_byte_sum__tcp,lognormal,947,"{'shape': 1.9412877867598364, 'loc': 0.0, 'scale': 426.1903191332704}",0.15626729349450635,1.157322667338091e-20,15415.811530931267,15425.51812911764,-7705.9057654656335,2,2
flow_byte_sum__tcp,weibull,947,"{'shape': 0.43118057586393904, 'loc': 0.0, 'scale': 1218.0194934634706}",0.23893948958081498,4.634440090986951e-48,15816.807222766507,15826.51382095288,-7906.4036113832535,3,3
flow_byte_sum__tcp,gamma,947,"{'shape': 0.2523966775954051, 'loc': 0.0, 'scale': 28042.90733720938}",0.26384948451167445,1.1301588332518525e-58,16371.77310285229,16381.479701038663,-8183.886551426145,4,4
flow_byte_sum__tcp,exponential,947,"{'loc': 0.0, 'scale': 7077.9366420274555}",0.5897351519439754,3.2177922704e-314,18685.813221737168,18690.666520830353,-9341.906610868584,5,5
