dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
frame_len__tls,gamma,993,"{'shape': 0.7278888848095565, 'loc': 0.0, 'scale': 1071.6308679253384}",0.274689898251294,1.0399302200368723e-66,15140.529983885976,15150.331445214066,-7568.264991942988,1,1
frame_len__tls,weibull,993,"{'shape': 0.8213965897091557, 'loc': 0.0, 'scale': 708.7474290981477}",0.2760266355899722,2.285613917437275e-67,15156.932129578101,15166.733590906191,-7576.4660647890505,2,2
frame_len__tls,lognormal,993,"{'shape': 1.4928833273513606, 'loc': 0.0, 'scale': 341.5654703707841}",0.2811286705426864,6.54622699995078e-70,15203.229932144808,15213.031393472898,-7599.614966072404,3,3
frame_len__tls,exponential,993,"{'loc': 0.0, 'scale': 780.0281973816717}",0.2972468651019424,2.827877442766914e-78,15213.42951806582,15218.330248729864,-7605.71475903291,4,4
