dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
flow_byte_sum,pareto,1834,"{'shape': 0.7232074044773247, 'loc': 0.0, 'scale': 60.0}",0.2638507082183811,3.586329513652801e-113,24950.55584200801,24961.584351313642,-12473.277921004004,1,1
flow_byte_sum,lognormal,1834,"{'shape': 1.7414960975021425, 'loc': 0.0, 'scale': 239.145886145017}",0.21360084054803669,6.4734295736884654e-74,27333.376203324042,27344.404712629675,-13664.688101662021,2,2
flow_byte_sum,weibull,1834,"{'shape': 0.44135322182446335, 'loc': 0.0, 'scale': 632.063090513518}",0.2979333562879014,7.934602432654665e-145,28335.41746945111,28346.445978756743,-14165.708734725555,3,3
flow_byte_sum,gamma,1834,"{'shape': 0.2513413928178331, 'loc': 0.0, 'scale': 16019.702722359782}",0.27489630029106993,5.597862352863247e-123,29595.764380435205,29606.79288974084,-14795.882190217602,4,4
flow_byte_sum,exponential,1834,"{'loc': 0.0, 'scale': 4026.41439476554}",0.6118241405030324,0.0,34116.71645406295,34122.23070871577,-17057.358227031476,5,5
