dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
iat__tls,lognormal,993,"{'shape': 1.449849999320744, 'loc': 0.0, 'scale': 6.624167642727835e-06}",0.32414697031297046,2.273209669503872e-93,-20122.892973792303,-20113.091512464212,10063.446486896151,1,1
iat__tls,weibull,993,"{'shape': 0.5811467034056121, 'loc': 0.0, 'scale': 1.4903065792034153e-05}",0.3357759709998175,2.4209993039184757e-100,-19678.92357225081,-19669.12211092272,9841.461786125405,2,2
iat__tls,gamma,993,"{'shape': 0.45753864544295947, 'loc': 0.0, 'scale': 5.916327871851547e-05}",0.3944080895445562,9.406219300602964e-140,-19468.761069240194,-19458.959607912104,9736.380534620097,3,3
iat__tls,poisson,993,"{'lambda': 36941.96428571428, 'mean_iat': 2.7069486404833838e-05, 'scale': 2.7069486404833838e-05}",0.5796434470766325,4.2314934e-317,-18898.967406761505,-18894.06667609746,9450.483703380753,4,4
iat__tls,exponential,993,"{'loc': 0.0, 'scale': 2.7069486404833838e-05}",0.5796434470766325,4.2314934e-317,-18898.967406761505,-18894.06667609746,9450.483703380753,4,4
