dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
iat,lognormal,4572,"{'shape': 1.550334874270413, 'loc': 0.0, 'scale': 0.006993551333983381}",0.3066416763304797,0.0,-28391.387186061365,-28378.531774011535,14197.693593030683,1,1
iat,weibull,4572,"{'shape': 0.5627935920594824, 'loc': 0.0, 'scale': 0.016464051941752683}",0.324494383226427,0.0,-26569.133904854993,-26556.278492805162,13286.566952427496,2,2
iat,gamma,4572,"{'shape': 0.436837354363457, 'loc': 0.0, 'scale': 0.0706995668182678}",0.38025445672043223,0.0,-25675.276837668003,-25662.421425618173,12839.638418834002,3,3
iat,poisson,4572,"{'lambda': 32.37900351647876, 'mean_iat': 0.03088421172353456, 'scale': 0.03088421172353456}",0.5780723709530682,0.0,-22652.353022963554,-22645.92531693864,11327.176511481777,4,4
iat,exponential,4572,"{'loc': 0.0, 'scale': 0.03088421172353456}",0.5780723709530682,0.0,-22652.353022963554,-22645.92531693864,11327.176511481777,4,4
