dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
frame_len__data,gamma,5579,"{'shape': 101.13964061318013, 'loc': 0.0, 'scale': 0.8923682977233098}",0.2557557702426766,2.87e-322,40284.48412580256,40297.73765545825,-20140.24206290128,1,1
frame_len__data,weibull,5579,"{'shape': 11.382815064675182, 'loc': 0.0, 'scale': 94.2082499494994}",0.2532097461841916,9.13730667e-316,40284.97974716381,40298.2332768195,-20140.489873581904,2,2
frame_len__data,lognormal,5579,"{'shape': 0.10023310475714246, 'loc': 0.0, 'scale': 89.80799422877335}",0.25530967434809293,4.22e-321,40355.29767098668,40368.55120064237,-20175.64883549334,3,3
frame_len__data,exponential,5579,"{'loc': 0.0, 'scale': 90.25380892633089}",0.5595287025343955,0.0,61400.298681892986,61406.92544672083,-30699.149340946493,4,4
