dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
iat__data,lognormal,3107,"{'shape': 1.5454270528466838, 'loc': 0.0, 'scale': 0.007244293903672007}",0.30203403113826816,6.181045585483061e-252,-19093.500820298246,-19081.41799447946,9548.750410149123,1,1
iat__data,weibull,3107,"{'shape': 0.567614426766112, 'loc': 0.0, 'scale': 0.016975729881372317}",0.3200584967624094,1.300399156764983e-283,-17879.698981852045,-17867.61615603326,8941.849490926023,2,2
iat__data,gamma,3107,"{'shape': 0.44267805782235964, 'loc': 0.0, 'scale': 0.07064690616168746}",0.3770108777219882,0.0,-17290.00658791056,-17277.923762091774,8647.00329395528,3,3
iat__data,poisson,3107,"{'lambda': 31.975611346004865, 'mean_iat': 0.031273835210814296, 'scale': 0.031273835210814296}",0.571589689847519,0.0,-15315.34512258268,-15309.303709673286,7658.67256129134,4,4
iat__data,exponential,3107,"{'loc': 0.0, 'scale': 0.031273835210814296}",0.571589689847519,0.0,-15315.34512258268,-15309.303709673286,7658.67256129134,4,4
