dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
iat__rdp,lognormal,66,"{'shape': 1.6551120816499507, 'loc': 0.0, 'scale': 0.007356416515130778}",0.33549806520965253,3.974179978981091e-07,-390.5975116883762,-386.21820220432335,197.2987558441881,1,1
iat__rdp,weibull,66,"{'shape': 0.5550839888177133, 'loc': 0.0, 'scale': 0.018095006951645072}",0.34252349560557155,2.0398099686686497e-07,-368.74371968243497,-364.36441019838213,186.37185984121749,2,2
iat__rdp,gamma,66,"{'shape': 0.43220255982375777, 'loc': 0.0, 'scale': 0.07656738827649615}",0.3889987320549688,1.6687699510695458e-09,-358.9611020391882,-354.58179255513534,181.4805510195941,3,3
iat__rdp,poisson,66,"{'lambda': 30.218216731460323, 'mean_iat': 0.03309262121212121, 'scale': 0.03309262121212121}",0.5889407957617459,2.5068586133534705e-22,-315.91473281332486,-313.7250780712984,158.95736640666243,4,4
iat__rdp,exponential,66,"{'loc': 0.0, 'scale': 0.03309262121212121}",0.5889407957617459,2.5068586133534705e-22,-315.91473281332486,-313.7250780712984,158.95736640666243,4,4
