dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
flow_byte_sum__dns,pareto,127,"{'shape': 2.4239791427509507, 'loc': 0.0, 'scale': 86.0}",0.5039370078740157,2.2081350420390014e-30,1269.2963356497364,1274.9847098226537,-632.6481678248682,1,1
flow_byte_sum__dns,lognormal,127,"{'shape': 0.6276854135756965, 'loc': 0.0, 'scale': 129.9165212693254}",0.25551082473852604,8.485259855695455e-08,1482.3090732198505,1487.9974473927678,-739.1545366099252,2,2
flow_byte_sum__dns,gamma,127,"{'shape': 1.622990728994793, 'loc': 0.0, 'scale': 112.31331227617503}",0.29780179912701665,1.7577773670951618e-10,1564.6032993216313,1570.2916734945486,-780.3016496608157,3,3
flow_byte_sum__dns,exponential,127,"{'loc': 0.0, 'scale': 182.28346456692913}",0.37611714249139283,1.203214873096943e-16,1578.2129951561697,1581.0571822426282,-788.1064975780848,4,4
flow_byte_sum__dns,weibull,127,"{'shape': 1.0614337888222178, 'loc': 0.0, 'scale': 188.28187148094077}",0.35292607275788007,1.1825672284075729e-14,1579.0831339706726,1584.77150814359,-787.5415669853363,5,5
