dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
flow_duration__tls,gamma,102,"{'shape': 0.09761046889467091, 'loc': 0.0, 'scale': 648473645.6907253}",0.287501583110634,5.868827661978444e-08,2663.2148616216705,2668.464807248239,-1329.6074308108352,1,1
flow_duration__tls,weibull,102,"{'shape': 0.14141234870348207, 'loc': 0.0, 'scale': 918272.1237048545}",0.2658708323853338,7.442988039881258e-07,2687.7672154121615,2693.01716103873,-1341.8836077060807,2,2
flow_duration__tls,lognormal,102,"{'shape': 8.34662426028704, 'loc': 0.0, 'scale': 15035.118781203228}",0.22165960018467545,6.980413969220316e-05,2688.423699987944,2693.6736456145127,-1342.211849993972,3,3
flow_duration__tls,pareto,102,"{'shape': 0.06976897947084802, 'loc': 0.0, 'scale': 0.008961}",0.21142137618662943,0.0001767730195080424,2713.26479591364,2718.5147415402084,-1354.63239795682,4,4
flow_duration__tls,exponential,102,"{'loc': 0.0, 'scale': 63297816.621708386}",0.5444190505342178,7.252603075450301e-29,3870.52572437018,3873.150697183464,-1934.26286218509,5,5
