dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
iat__tls,lognormal,669,"{'shape': 1.3969622694390595, 'loc': 0.0, 'scale': 0.0064665231014650985}",0.3046618886932108,1.3243146149312834e-55,-4395.180894846435,-4386.169326726179,2199.5904474232175,1,1
iat__tls,weibull,669,"{'shape': 0.5930442956326373, 'loc': 0.0, 'scale': 0.01418655460044601}",0.3303816008393641,1.4531860611559442e-65,-4080.637826103944,-4071.6262579836875,2042.318913051972,2,2
iat__tls,gamma,669,"{'shape': 0.4719982333595437, 'loc': 0.0, 'scale': 0.05326646130924162}",0.3939203982665313,4.4321991952522854e-94,-3935.7211677508158,-3926.7095996305593,1969.8605838754079,3,3
iat__tls,poisson,669,"{'lambda': 39.774596351759875, 'mean_iat': 0.02514167563527653, 'scale': 0.02514167563527653}",0.56963285824041,9.224169247425298e-206,-3588.159633830412,-3583.653849770284,1795.079816915206,4,4
iat__tls,exponential,669,"{'loc': 0.0, 'scale': 0.02514167563527653}",0.56963285824041,9.224169247425298e-206,-3588.159633830412,-3583.653849770284,1795.079816915206,4,4
