dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
flow_duration__http,gamma,442,"{'shape': 0.13719236802244, 'loc': 0.0, 'scale': 686692078.1014348}",0.24291098305736014,1.9104667301472678e-23,13968.163116276148,13976.345736040303,-6982.081558138074,1,1
flow_duration__http,weibull,442,"{'shape': 0.18621739351286487, 'loc': 0.0, 'scale': 9926002.844961338}",0.24573099276083465,5.4549354707793266e-24,14152.520680091591,14160.703299855746,-7074.260340045796,2,2
flow_duration__http,lognormal,442,"{'shape': 7.374692471105475, 'loc': 0.0, 'scale': 323406.1440545988}",0.25898912244934685,1.2256472588137195e-26,14239.632752627796,14247.815372391951,-7117.816376313898,3,3
flow_duration__http,pareto,442,"{'shape': 0.053878822724840354, 'loc': 0.0, 'scale': 0.002813}",0.2915304452322796,9.049225127628412e-34,14685.190889665624,14693.373509429779,-7340.595444832812,4,4
flow_duration__http,exponential,442,"{'loc': 0.0, 'scale': 94208912.29698616}",0.4227195151344097,3.8517439588260833e-72,17117.14640537136,17121.23771525344,-8557.57320268568,5,5
