dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
frame_len__data,weibull,5746,"{'shape': 2.4133969542012355, 'loc': 0.0, 'scale': 1329.4651521585786}",0.3620746084334855,0.0,89344.26994947306,89357.58246795215,-44670.13497473653,1,1
frame_len__data,gamma,5746,"{'shape': 2.2967629874452924, 'loc': 0.0, 'scale': 526.8583437160357}",0.3760146145933757,0.0,91251.79574796982,91265.10826644891,-45623.89787398491,2,2
frame_len__data,exponential,5746,"{'loc': 0.0, 'scale': 1210.0687434737208}",0.4052928489373531,0.0,93069.18571270168,93075.84197194122,-46533.59285635084,3,3
frame_len__data,lognormal,5746,"{'shape': 0.9025614983085638, 'loc': 0.0, 'scale': 958.3507932636044}",0.37883924003485764,0.0,94027.33755718998,94040.65007566907,-47011.66877859499,4,4
