dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,label,caption,segment,segment_label,group
frame_len__data,gamma,5579,"{'shape': 101.13964061318013, 'loc': 0.0, 'scale': 0.8923682977233098}",0.2557557702426766,2.87e-322,40284.48412580256,40297.73765545825,-20140.24206290128,Packet size,"best=gamma (shape=101.1, loc=0, scale=0.8924); KS D=0.2558, p=2.87e-322; AIC=40284.5, BIC=40297.7",packet_role,Control vs data,data
flow_duration__all,gamma,777,"{'shape': 0.12047345581419341, 'loc': 0.0, 'scale': 686253497.373665}",0.25918944092165136,1.573258800484764e-46,23123.620915964915,23132.93179666565,-11559.810457982458,Flow duration,"best=gamma (shape=0.1205, loc=0, scale=6.863e+08); KS D=0.2592, p=1.57e-46; AIC=23123.6, BIC=23132.9",flow_size_class,Mice vs elephant flows,all
flow_byte_sum__all,pareto,1296,"{'shape': 0.8200471350599358, 'loc': 0.0, 'scale': 66.0}",0.14805072223213817,2.927510052595692e-25,17130.614857705856,17140.94893345968,-8563.307428852928,Flow size,"best=pareto (shape=0.82, loc=0, scale=66); KS D=0.1481, p=2.93e-25; AIC=17130.6, BIC=17140.9",flow_size_class,Mice vs elephant flows,all
flow_throughput__all,pareto,777,"{'shape': 0.1097911713782775, 'loc': 0.0, 'scale': 2.8674944696589004e-06}",0.22956163217598868,1.7757745100287714e-36,-687.0580123639159,-677.7471316631805,345.5290061819579,Flow throughput,"best=pareto (shape=0.1098, loc=0, scale=2.867e-06); KS D=0.2296, p=1.78e-36; AIC=-687.1, BIC=-677.7",flow_size_class,Mice vs elephant flows,all
flow_duration__mice,gamma,712,"{'shape': 0.12252965077734204, 'loc': 0.0, 'scale': 681585466.1904404}",0.2486728749470959,2.8407932319095302e-39,21360.597317995653,21369.733473818476,-10678.298658997826,Flow duration,"best=gamma (shape=0.1225, loc=0, scale=6.816e+08); KS D=0.2487, p=2.84e-39; AIC=21360.6, BIC=21369.7",flow_size_class,Mice vs elephant flows,mice
flow_duration__elephant,lognormal,65,"{'shape': 7.084209945001385, 'loc': 0.0, 'scale': 26080.363802917906}",0.3525168855294267,9.934908038225146e-08,1764.9468311022622,1769.2956056420535,-880.4734155511311,Flow duration,"best=lognormal (shape=7.084, loc=0, scale=2.608e+04); KS D=0.3525, p=9.93e-08; AIC=1764.9, BIC=1769.3",flow_size_class,Mice vs elephant flows,elephant
flow_byte_sum__mice,pareto,1231,"{'shape': 0.9452216153174627, 'loc': 0.0, 'scale': 66.0}",0.17179639849747375,3.0830360444346707e-32,15524.309047992618,15534.540212244987,-7760.154523996309,Flow size,"best=pareto (shape=0.9452, loc=0, scale=66); KS D=0.1718, p=3.08e-32; AIC=15524.3, BIC=15534.5",flow_size_class,Mice vs elephant flows,mice
flow_byte_sum__elephant,pareto,65,"{'shape': 1.1394566125370347, 'loc': 0.0, 'scale': 1978.0}",0.08909580935261296,0.647663255068676,1217.7971715922067,1222.145946131998,-606.8985857961034,Flow size,"best=pareto (shape=1.139, loc=0, scale=1978); KS D=0.0891, p=6.48e-01; AIC=1217.8, BIC=1222.1",flow_size_class,Mice vs elephant flows,elephant
flow_throughput__mice,pareto,712,"{'shape': 0.11441482242933992, 'loc': 0.0, 'scale': 2.8674944696589004e-06}",0.22651078648195067,1.3880713497938827e-32,-1212.125851043432,-1202.9896952206082,608.062925521716,Flow throughput,"best=pareto (shape=0.1144, loc=0, scale=2.867e-06); KS D=0.2265, p=1.39e-32; AIC=-1212.1, BIC=-1203.0",flow_size_class,Mice vs elephant flows,mice
flow_throughput__elephant,gamma,65,"{'shape': 0.11531223492357694, 'loc': 0.0, 'scale': 12734.708916171228}",0.1992558775804873,0.009745249441422854,477.66077760388976,482.00955214368105,-236.83038880194488,Flow throughput,"best=gamma (shape=0.1153, loc=0, scale=1.273e+04); KS D=0.1993, p=9.75e-03; AIC=477.7, BIC=482.0",flow_size_class,Mice vs elephant flows,elephant
iat__all,poisson,4572,"{'lambda': 32.37900351647876, 'mean_iat': 0.03088421172353456, 'scale': 0.03088421172353456}",0.5780723709530682,0.0,-22652.353022963554,-22645.92531693864,11327.176511481777,Inter-arrival time,"best=poisson (lambda=32.38, mean_iat=0.03088, scale=0.03088); KS D=0.5781, p=0.00e+00; AIC=-22652.4, BIC=-22645.9",app_proto,Application protocol,all
frame_len__all,lognormal,10000,"{'shape': 0.11717683657411601, 'loc': 0.0, 'scale': 91.49059294451735}",0.21685059030381426,0.0,75826.07258652321,75840.49326726716,-37911.036293261604,Packet size,"best=lognormal (shape=0.1172, loc=0, scale=91.49); KS D=0.2169, p=0.00e+00; AIC=75826.1, BIC=75840.5",app_proto,Application protocol,all
flow_duration__all,gamma,777,"{'shape': 0.12047345581419341, 'loc': 0.0, 'scale': 686253497.373665}",0.25918944092165136,1.573258800484764e-46,23123.620915964915,23132.93179666565,-11559.810457982458,Flow duration,"best=gamma (shape=0.1205, loc=0, scale=6.863e+08); KS D=0.2592, p=1.57e-46; AIC=23123.6, BIC=23132.9",app_proto,Application protocol,all
flow_byte_sum__all,pareto,1296,"{'shape': 0.8200471350599358, 'loc': 0.0, 'scale': 66.0}",0.14805072223213817,2.927510052595692e-25,17130.614857705856,17140.94893345968,-8563.307428852928,Flow size,"best=pareto (shape=0.82, loc=0, scale=66); KS D=0.1481, p=2.93e-25; AIC=17130.6, BIC=17140.9",app_proto,Application protocol,all
iat__http,poisson,1824,"{'lambda': 34.53743113389605, 'mean_iat': 0.02895409320175439, 'scale': 0.02895409320175439}",0.5815973436908155,0.0,-9271.375404087556,-9265.866616916921,4636.687702043778,Inter-arrival time,"best=poisson (lambda=34.54, mean_iat=0.02895, scale=0.02895); KS D=0.5816, p=0.00e+00; AIC=-9271.4, BIC=-9265.9",app_proto,Application protocol,http
iat__tls,poisson,669,"{'lambda': 39.774596351759875, 'mean_iat': 0.02514167563527653, 'scale': 0.02514167563527653}",0.56963285824041,9.224169247425298e-206,-3588.159633830412,-3583.653849770284,1795.079816915206,Inter-arrival time,"best=poisson (lambda=39.77, mean_iat=0.02514, scale=0.02514); KS D=0.5696, p=9.22e-206; AIC=-3588.2, BIC=-3583.7",app_proto,Application protocol,tls
iat__rdp,poisson,66,"{'lambda': 30.218216731460323, 'mean_iat': 0.03309262121212121, 'scale': 0.03309262121212121}",0.5889407957617459,2.5068586133534705e-22,-315.91473281332486,-313.7250780712984,158.95736640666243,Inter-arrival time,"best=poisson (lambda=30.22, mean_iat=0.03309, scale=0.03309); KS D=0.5889, p=2.51e-22; AIC=-315.9, BIC=-313.7",app_proto,Application protocol,rdp
frame_len__http,lognormal,5596,"{'shape': 0.07459055521688665, 'loc': 0.0, 'scale': 94.98505623034357}",0.34428044548380843,0.0,37798.45197650745,37811.711591179024,-18897.225988253726,Packet size,"best=lognormal (shape=0.07459, loc=0, scale=94.99); KS D=0.3443, p=0.00e+00; AIC=37798.5, BIC=37811.7",app_proto,Application protocol,http
frame_len__tls,lognormal,958,"{'shape': 0.08528527867623442, 'loc': 0.0, 'scale': 91.88256061308755}",0.37083553568968,1.0135812523861416e-118,6667.2662208405745,6676.995916396516,-3331.6331104202873,Packet size,"best=lognormal (shape=0.08529, loc=0, scale=91.88); KS D=0.3708, p=1.01e-118; AIC=6667.3, BIC=6677.0",app_proto,Application protocol,tls
frame_len__dns,lognormal,194,"{'shape': 0.07237280156979536, 'loc': 0.0, 'scale': 88.53940446479638}",0.5170159737525926,1.019715741208716e-48,1275.2670679044254,1281.802784222552,-635.6335339522127,Packet size,"best=lognormal (shape=0.07237, loc=0, scale=88.54); KS D=0.5170, p=1.02e-48; AIC=1275.3, BIC=1281.8",app_proto,Application protocol,dns
frame_len__rdp,lognormal,125,"{'shape': 0.06875428821901171, 'loc': 0.0, 'scale': 91.47767512971357}",0.34343167988100004,1.1428106112459968e-13,818.4543294442461,824.1109569188508,-407.22716472212306,Packet size,"best=lognormal (shape=0.06875, loc=0, scale=91.48); KS D=0.3434, p=1.14e-13; AIC=818.5, BIC=824.1",app_proto,Application protocol,rdp
flow_duration__http,gamma,442,"{'shape': 0.13719236802244, 'loc': 0.0, 'scale': 686692078.1014348}",0.24291098305736014,1.9104667301472678e-23,13968.163116276148,13976.345736040303,-6982.081558138074,Flow duration,"best=gamma (shape=0.1372, loc=0, scale=6.867e+08); KS D=0.2429, p=1.91e-23; AIC=13968.2, BIC=13976.3",app_proto,Application protocol,http
flow_duration__tls,gamma,102,"{'shape': 0.09761046889467091, 'loc': 0.0, 'scale': 648473645.6907253}",0.287501583110634,5.868827661978444e-08,2663.2148616216705,2668.464807248239,-1329.6074308108352,Flow duration,"best=gamma (shape=0.09761, loc=0, scale=6.485e+08); KS D=0.2875, p=5.87e-08; AIC=2663.2, BIC=2668.5",app_proto,Application protocol,tls
flow_byte_sum__http,pareto,635,"{'shape': 0.8877913131004889, 'loc': 0.0, 'scale': 86.0}",0.2573526047863995,1.4160776220109993e-37,8512.691014532558,8521.598264530343,-4254.345507266279,Flow size,"best=pareto (shape=0.8878, loc=0, scale=86); KS D=0.2574, p=1.42e-37; AIC=8512.7, BIC=8521.6",app_proto,Application protocol,http
flow_byte_sum__tls,pareto,133,"{'shape': 0.9332158592685358, 'loc': 0.0, 'scale': 86.0}",0.13044563628618966,0.019641351305515347,1758.2778428949232,1764.0585411513666,-877.1389214474616,Flow size,"best=pareto (shape=0.9332, loc=0, scale=86); KS D=0.1304, p=1.96e-02; AIC=1758.3, BIC=1764.1",app_proto,Application protocol,tls
flow_byte_sum__dns,pareto,127,"{'shape': 2.4239791427509507, 'loc': 0.0, 'scale': 86.0}",0.5039370078740157,2.2081350420390014e-30,1269.2963356497364,1274.9847098226537,-632.6481678248682,Flow size,"best=pareto (shape=2.424, loc=0, scale=86); KS D=0.5039, p=2.21e-30; AIC=1269.3, BIC=1275.0",app_proto,Application protocol,dns
