dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
iat__data,lognormal,56018,"{'shape': 1.4437966935113602, 'loc': 0.0, 'scale': 6.734126422464662e-06}",0.33193428175643125,0.0,-1134036.4575883057,-1134018.5907316124,567020.2287941528,1,1
iat__data,weibull,56018,"{'shape': 0.585297454725585, 'loc': 0.0, 'scale': 1.5080494633831947e-05}",0.34235217551315833,0.0,-1109235.9237895184,-1109218.0569328251,554619.9618947592,2,2
iat__data,gamma,56018,"{'shape': 0.4629162105673998, 'loc': 0.0, 'scale': 5.833279281444926e-05}",0.39769547267039507,0.0,-1097641.529527436,-1097623.6626707427,548822.764763718,3,3
iat__data,poisson,56018,"{'lambda': 37032.6542889536, 'mean_iat': 2.7003195401478098e-05, 'scale': 2.7003195401478098e-05}",0.5812095932981786,0.0,-1066530.903277708,-1066521.9698493613,533266.451638854,4,4
iat__data,exponential,56018,"{'loc': 0.0, 'scale': 2.7003195401478098e-05}",0.5812095932981786,0.0,-1066530.903277708,-1066521.9698493613,533266.451638854,4,4
