dataset,distribution,n,params,ks_statistic,ks_pvalue,aic,bic,log_likelihood,rank_aic,rank_bic
iat__control,lognormal,42612,"{'shape': 1.586335190935122, 'loc': 0.0, 'scale': 6.536339569537025e-06}",0.33946032484708566,0.0,-857159.2430726741,-857141.9232903087,428581.6215363371,1,1
iat__control,weibull,42612,"{'shape': 0.5472616200063605, 'loc': 0.0, 'scale': 1.5745920392742468e-05}",0.3484281266576785,0.0,-839800.5817101846,-839783.2619278191,419902.2908550923,2,2
iat__control,gamma,42612,"{'shape': 0.4188740084657234, 'loc': 0.0, 'scale': 7.42127627871146e-05}",0.4046810042525271,0.0,-831099.1737550384,-831081.853972673,415551.5868775192,3,3
iat__control,poisson,42612,"{'lambda': 32169.031607364483, 'mean_iat': 3.1085797427954565e-05, 'scale': 3.1085797427954565e-05}",0.6134627593408213,0.0,-799293.4011133579,-799284.7412221752,399647.70055667893,4,4
iat__control,exponential,42612,"{'loc': 0.0, 'scale': 3.1085797427954565e-05}",0.6134627593408213,0.0,-799293.4011133579,-799284.7412221752,399647.70055667893,4,4
